Modded Block,Vanilla Block
biomesoplenty:planks_0,spruce_planks
biomesoplenty:double_wood_slab_0,spruce_slab
cfm:chair_oak,oak_wood
cfm:crate_jungle,jungle_wood
lotr:tile.lotr:alloyForge,deepslate_tiles
lotr:tile.lotr:gateWooden,deepslate_tile_wall
lotr:tile.lotr:strawBed,sandstone_slab
TConstruct:Armor.DryingRack,dried_kelp_block
Railcraft:residual.heat,soul_fire
biomesoplenty:fir_fence,spruce_fence
biomesoplenty:ethereal_stairs,prismarine_stairs
legends:monitor,observer
torchLevers:paintingDoor,spruce_door
torchLevers:carpetDoor6,spruce_door
torchLevers:carpetDoor7,spruce_door
torchLevers:carpetDoor8,spruce_door
torchLevers:carpetDoor2,spruce_door
torchLevers:carpetDoor4,spruce_door
torchLevers:carpetDoor5,spruce_door
torchLevers:carpetDoor1,spruce_door
torchLevers:illusionBlock3,oxidized_cut_copper
chisel:chisel.stoneBrick,chiseled_stone_bricks
pixelmon:PokeHealer,sniffer_egg
pixelmon:Leafstone_Ore,redstone_ore
pixelmon:PC_Block,chiseled_polished_blackstone
immersiveengineering:connector,conduit
immersiveengineering:storage,bookshelf
immersiveengineering:wooden_device0,oak_wood
immersiveengineering:metal_decoration1,decorated_pot
immersiveengineering:ore,gold_ore
immersiveengineering:metal_decoration2,decorated_pot
Botania:stone9Slab,stone
Botania:customBrick2Slab,bricks
Botania:stone0Wall,stone_brick_wall
Botania:customBrick2SlabFull,bricks
Botania:stone,stone
Botania:customBrick2Stairs,bricks
immersiveengineering:metal_device1,copper_block
thermaldynamics:duct_32,conduit
sgcraft:stargatecontroller,activator_rail
techguns:bunkerdoor,jungle_trapdoor
elevatorid:elevator_red,red_carpet
appliedenergistics2:energy_acceptor,dispenser
mekanism:machineblock2,chiseled_polished_blackstone
mekanism:machineblock3,chiseled_polished_blackstone
openmodularturrets:laser_turret,barrel
nuclearcraft:crystallizer_idle,budding_amethyst
powersuits:tinkertable,calibrated_sculk_sensor
nuclearcraft:rock_crusher_idle,sandstone
chisel:technical,tnt
metalchests:metal_chest,chest
appliedenergistics2:crafting_monitor,crafting_table
nuclearcraft:melter_idle,crafter
sgcraft:stargatering,daylight_detector
thermalexpansion:machine,piston
atum:ceramic_red,red_concrete
nuclearcraft:isotope_separator_idle,dispenser
abyssalcraft:dcstairs,cobbled_deepslate_stairs
nuclearcraft:pressurizer_idle,piston
ae2stuff:inscriber,crafter
techguns:multiblockmachine,oxidized_cut_copper
appliedenergistics2:interface,end_gateway
tropicraft:water,water
appliedenergistics2:quartz_stairs,quartz_stairs
matteroverdrive:holo_sign,bamboo_wall_sign
nuclearcraft:ingot_former_idle,emerald_ore
techguns:basicmachine,piston
appliedenergistics2:dense_energy_cell,heavy_core
appliedenergistics2:drive,farmland
thermaldynamics:duct_0,conduit
warpdrive:chunk_loader.basic,composter
fluxnetworks:fluxpoint,farmland
nuclearcraft:water_source,water
chisel:blockaluminum,magma_block
abyssalcraft:dscwall,cobbled_deepslate_wall
mekanism:basicblock,oxidized_cut_copper
thermaldynamics:duct_64,conduit
atum:linen_carpet_blue,blue_carpet
sgcraft:stargatebase,chiseled_polished_blackstone
techguns:door3x3,jungle_door
chisel:technical1,tnt
appliedenergistics2:crafting_storage_64k,crafting_table
appliedenergistics2:quantum_ring,bell
warpdrive:chunk_loader.superior,spawner
chisel:concrete_black,black_concrete
mekanism:machineblock,chiseled_polished_blackstone
techguns:ladder0,ladder
appliedenergistics2:quantum_link,chain
appliedenergistics2:charger,dispenser
openmodularturrets:turret_base,oxidized_cut_copper
abyssalcraft:dreadbrickstairs,bricks
nuclearcraft:manufactory_idle,dispenser
techguns:simplemachine,piston
appliedenergistics2:crafting_unit,crafter
thermaldynamics:duct_16,conduit
appliedenergistics2:crafting_accelerator,crafter
atum:ceramic_stairs_red,red_sandstone_stairs
warpdrive:air_flow,air
thermalexpansion:device,dispenser
chisel:futura,fletching_table
abyssalcraft:dreadstonecobblestonestairs,grindstone
nuclearcraft:alloy_furnace_idle,furnace
rustic:ginseng,sugar_cane
pixelmon:elevator,jungle_stairs
pixelmon:fossil_cleaner,sandstone
pixelmon:fossil_machine,piston
pixelmon:block.blue_orb,blue_wall_banner
pixelmon:trade_machine,lever
pixelmon:gracideablock,resin_block
pixelmon:berrytree_tamato,beetroots
pixelmon:cloning_machine,blast_furnace
pixelmon:block.red_orb,red_mushroom_block
pixelmon:anvil,anvil
pixelmon:red_vending_machine,red_concrete
pixelmon:ranch,farmland
ThermalExpansion:Machine,piston
malisisdoors:door_spruce,spruce_door
witchery:witchesovenidle,beehive
OpenBlocks:tank,water_cauldron
TConstruct:CraftingStation,crafter
JABBA:barrel,barrel
witchery:poppetshelf,poppy
witchery:cauldron,cauldron
witchery:wolfaltar,sandstone
witchery:wolfhead,zombie_wall_head
witchery:distilleryidle,dispenser
witchery:spinningwheel,moving_piston
IronChest:BlockIronChest,oxidized_cut_copper
biomesoplenty:log_3,jungle_log
biomesoplenty:ebony_fence,crimson_fence
biomesoplenty:wood_slab_1,stone_slab
biomesoplenty:double_wood_slab_1,spruce_slab
malisisblocks:block_mixer,dripstone_block
malisisblocks:mixed_block,oxidized_cut_copper
malisisblocks:player_sensor,sculk_sensor
lotr:tile.lotr:gateWoodenCross,deepslate_tile_wall
lotr:tile.lotr:slabDoubleThatch,deepslate_tile_slab
lotr:tile.lotr:fallenLeavesLOTR,cracked_deepslate_tiles
lotr:tile.lotr:thatchFloor,deepslate_tiles
lotr:tile.lotr:slabSingleThatch,deepslate_tile_slab
lotr:tile.lotr:stairsThatch,deepslate_tile_stairs
lotr:tile.lotr:thatch,deepslate_tiles
lotr:tile.lotr:aleHorn,deepslate_tiles
lotr:tile.lotr:brick5,bricks
lotr:tile.lotr:reeds,deepslate_tiles
vending:vendingmachinemultiple,jukebox
rustic:chair_big_oak,oak_wood
chisel:carpet_brown,brown_carpet
rustic:gargoyle,budding_amethyst
fossil:calamites_stairs,andesite_stairs
rustic:fence_olive,oak_fence
futuremc:smoker,smoker
futuremc:spruce_trapdoor,spruce_trapdoor
futuremc:loom,loom
chisel:ironpane,iron_block
chisel:bookshelf_darkoak,bookshelf
futuremc:stripped_spruce_log,stripped_spruce_log
netherex:quartz_fence,quartz_block
rustic:liquid_barrel,barrel
rustic:vase,flower_pot
climaticbiomesjbg:pine_planks,spruce_planks
rustic:lantern_wood,lantern
rustic:table_big_oak,oak_wood
futuremc:birch_trapdoor,birch_trapdoor
chisel:bricks,bricks
opframe:opframe,end_portal_frame
futuremc:barrel,barrel
rustic:stairs_olive,oak_stairs
futuremc:campfire,campfire
chisel:glass,glass
extrautils2:decorativeglass,glass
malisisdoors:trapdoor_jungle,jungle_trapdoor
quark:custom_chest,chest
cfm:mail_box_dark_oak,dark_oak_wood
immersiveengineering:metal_device0,copper_block
immersiveengineering:sheetmetal,prismarine_slab
immersiveengineering:steel_scaffolding_stairs0,scaffolding
immersivepetroleum:stone_decoration,stone
immersiveengineering:sheetmetal_slab,prismarine_slab
immersiveengineering:fake_light,light
thaumcraft:ore_amber,emerald_ore
malisisdoors:big_door_dark_oak_3x3,dark_oak_door
Forestry:factory2,furnace
CarpentersBlocks:blockCarpentersTorch,oxidized_cut_copper
bluepower:marble_brick,brick_slab
CarpentersBlocks:blockCarpentersSafe,oxidized_cut_copper
bluepower:amethyst_ore,amethyst_block
Railcraft:brick.bleachedbone,cracked_polished_blackstone_bricks
Forestry:leaves,jungle_leaves
bluepower:lampinvertedlight_gray,light_gray_candle
CarpentersBlocks:blockCarpentersBlock,oxidized_cut_copper
CarpentersBlocks:blockCarpentersHatch,oxidized_cut_copper
Forestry:planks2,spruce_planks
Railcraft:lantern.stone,stone
CarpentersBlocks:blockCarpentersSlope,oxidized_cut_copper
gendustry:IndustrialApiary,smithing_table
eng_toolbox:ore,gold_ore
BigReactors:YelloriteOre,sculk_shrieker
bluepower:marble,prismarine_brick_slab
ForgeMultipart:block,oxidized_cut_copper
bluepower:indigo_flower,chorus_flower
ProjectE:interdiction_torch,wall_torch
Railcraft:brick.infernal,bricks
pixelmon:deep_sea,deepslate
cfm:ceiling_light_off,light
cfm:light_switch_off,light
customnpcs:npcLamp,chain
pixelmon:red_umbrella,red_tulip
lotr:tile.lotr:armorStand,deepslate_tile_wall
lotr:tile.lotr:weaponRack,netherrack
lotr:tile.lotr:dirtPath,dirt_path
lotr:tile.lotr:aleHornGold,stone
Growthcraft|Apples:grc.appleBlock,chiseled_polished_blackstone
TConstruct:ToolStationBlock,chiseled_polished_blackstone
TConstruct:ToolForgeBlock,jigsaw
Growthcraft|Apples:grc.appleLeaves,carrots
customnpcs:npcCandle,mangrove_propagule
TConstruct:Smeltery,furnace
TConstruct:SearedBlock,fire_coral_block
TConstruct:LavaTank,lava_cauldron
TConstruct:CraftingSlab,crafting_table
BiblioCraft:BiblioSeats,bookshelf
Thaumcraft:blockLifter,oxidized_cut_copper
Thaumcraft:blockCosmeticSlabWood,oxidized_cut_copper
BiblioCraft:BiblioCase,bookshelf
Thaumcraft:blockCosmeticDoubleSlabWood,oxidized_cut_copper
BiblioCraft:BiblioDesk,bookshelf
BiblioCraft:BiblioWorkbench,bookshelf
Thaumcraft:blockJar,oxidized_cut_copper
Thaumcraft:blockCandle,oxidized_cut_copper
BiblioCraft:BiblioClock,bookshelf
BiblioCraft:BiblioPotionShelf,bookshelf
BiblioCraft:BiblioRack,closed_eyeblossom
Thaumcraft:blockAiry,oxidized_cut_copper
BiblioCraft:BiblioShelf,bookshelf
Thaumcraft:blockArcaneDoor,bubble_coral_block
BiblioCraft:BookcaseFilled,bookshelf
Thaumcraft:blockStairsGreatwood,oxidized_cut_copper
harvestcraft:gourdgarden,potted_oxeye_daisy
extrautils2:decorativesolid,decorated_pot
biomesoplenty:umbran_door_block,jungle_door
pixelmon:mechanical_anvil,anvil
pixelmon:black_vending_machine,black_concrete
pixelmon:black_clock,black_candle
pixelmon:clothed_table,crafting_table
pixelmon:black_chair,black_bed
pixelmon:black_rug,black_carpet
malisisdoors:customdoor,spruce_trapdoor
machinemod:machinecompressedasphalt,chiseled_polished_blackstone
vehicle:gas_pump,piston
cfm:light_switch_on,light
bibliocraft:shelf,bookshelf
cfm:modern_light_on,light
pixelmon:poke_sand,sand
harvestcraft:windygarden,air
quark:stone_marble_stairs,stone_stairs
tconstruct:seared_tank,water_cauldron
abyssalcraft:sequential_brewing_stand,brewing_stand
mekanism:energycube,copper_bulb
tropicraft:leaves,jungle_leaves
warpdrive:air_source,air
bigreactors:reactorcontrolrod,activator_rail
calemiutils:bank,note_block
warpdrive:air_generator.advanced,air
matteroverdrive:replicator,trial_spawner
bibliocraft:paintingframeborderless,chiseled_nether_bricks
nuclearcraft:fusion_dummy_top,pumpkin_stem
calemiutils:network_cable,rail
warpdrive:weapon_controller,target
woot:upgradeb,oxidized_cut_copper
matteroverdrive:decorative.engine_exhaust_plasma,furnace
warpdrive:hull.superior.stairs_red,red_sandstone_stairs
nuclearcraft:water_source_compact,water
warpdrive:security_station,detector_rail
woot:cell,mycelium
tconstruct:seared,seagrass
tconstruct:smeltery_controller,furnace
chisel:laboratory,mycelium
warpdrive:monitor,observer
nuclearcraft:active_cooler,ice
matteroverdrive:network_pipe,conduit
tropicraft:flower,chorus_flower
woot:upgrade,barrel
mekanism:basicblock2,oxidized_cut_copper
warpdrive:laser_medium.superior,light
woot:importer,crafter
nuclearcraft:infuser_idle,dispenser
chisel:factory,furnace
warpdrive:cloaking_coil,lava_cauldron
warpdrive:ship_core.advanced,heavy_core
bigreactors:reactoraccessport,furnace
warpdrive:air_generator.basic,air
chisel:blockgold,gold_block
matteroverdrive:pattern_monitor,comparator
nuclearcraft:fusion_dummy_side,fire
warpdrive:air_shield,air
nuclearcraft:fluid_plasma,water
woot:factory,furnace
warpdrive:hull.basic.plain,mangrove_planks
tconstruct:casting,water_cauldron
thermalexpansion:cell,mycelium
matteroverdrive:decorative.matter_tube,tube_coral
fluxnetworks:fluxplug,wall_torch
warpdrive:laser_camera,light
warpdrive:ship_core.superior,heavy_core
mekanism:boundingblock,note_block
matteroverdrive:network_switch,nether_portal
matteroverdrive:matter_analyzer,observer
bigreactors:reactorcontroller,activator_rail
chisel:blocksteel,redstone_block
bibliocraft:lanterniron,lantern
computercraft:peripheral,lever
warpdrive:projector.superior,glass_pane
atum:ceramic_wall_silver,resin_brick_wall
botania:specialflower,sunflower
tropicraft:leaves_fruit,cherry_leaves
bigreactors:reactorfuelrod,furnace
warpdrive:hull.basic.stairs_black,dark_oak_stairs
nuclearcraft:fusion_core,heavy_core
warpdrive:hull.superior.glass,glass
computercraft:computer,water_cauldron
warpdrive:hull.superior.stairs_black,dark_oak_stairs
matteroverdrive:decomposer,composter
computercraft:wired_modem_full,tripwire
matteroverdrive:star_map,cartography_table
chisel:technicalnew,tnt
woot:structure,oxidized_cut_copper
warpdrive:hull.basic.slab_black,blackstone_slab
nuclearcraft:fusion_electromagnet_transparent_active,daylight_detector
warpdrive:hull.advanced.plain,mangrove_pressure_plate
warpdrive:hull.superior.stairs_silver,crimson_stairs
warpdrive:hull.superior.plain,mangrove_slab
matteroverdrive:tritanium_crate_light_blue,light_blue_terracotta
nuclearcraft:fusion_connector,cherry_button
matteroverdrive:inscriber,crafter
woot:exporter,crafter
warpdrive:ship_core.basic,heavy_core
tropicraft:pineapple,carrots
warpdrive:hull.superior.stairs_blue,crimson_stairs
atum:ceramic_wall_gray,gray_concrete
warpdrive:air_generator.superior,air
abyssalcraft:dspplate,deepslate
mekanism:transmitter,tnt
integrateddynamics:menril_door,iron_door
warpdrive:hull.superior.slab_red,red_sandstone_slab
matteroverdrive:pattern_storage,note_block
atum:linen_carpet_white,white_carpet
warpdrive:ship_controller.superior,powered_rail
calemiutils:iron_scaffold,scaffolding
matteroverdrive:charging_station,brewing_stand
nuclearcraft:water_source_dense,water
elevatorid:elevator_blue,blue_carpet
thermalfoundation:storage,bookshelf
warpdrive:cloaking_core,heavy_core
bigreactors:reactorcasing,crafting_table
warpdrive:warp_isolation,warped_slab
warpdrive:radar,detector_rail
bibliocraft:paintingpress,crimson_pressure_plate
appliedenergistics2:io_port,mangrove_button
warpdrive:hull.superior.slab_silver,crimson_slab
mekanism:gastank,fire
bigreactors:reactorpowertaprf,birch_pressure_plate
tconstruct:smeltery_io,furnace
immersiveengineering:wooden_device1,oak_wood
immersiveengineering:wooden_decoration,oak_wood
joshxmas:present_chest_red,chest
joshxmas:present_chest_green,chest
joshxmas:stocking_green,green_wool
joshxmas:christmas_tree_top,pumpkin_stem
joshxmas:christmas_lights_white,white_candle
joshxmas:christmas_tree,cherry_sapling
joshxmas:stocking,frogspawn
EnderIO:blockFusedQuartz,moss_block
OpenBlocks:elevator,jungle_stairs
hyperioncraft:blockgagfasttravel,oxidized_cut_copper
hyperioncraft:fasttravel,tripwire
IC2:blockRubWood,oxidized_cut_copper
chisel:chisel.limestone,chiseled_sandstone
PneumaticCraft:repulsionPlant,amethyst_block
PneumaticCraft:creeperPlant,creeper_wall_head
Railcraft:tile.railcraft.residual.heat,deepslate_tiles
denseores:block0,oxidized_cut_copper
PneumaticCraft:chopperPlant,torchflower_crop
PneumaticCraft:rainPlant,pitcher_plant
PneumaticCraft:potionPlant,pitcher_plant
MineFactoryReloaded:fluid.mfr.liquid.sludge.still,water
Forestry:resources,bookshelf
PneumaticCraft:lightningPlant,lightning_rod
BiomesOPlenty:foliage,jungle_leaves
Forestry:beehives,beehive
PneumaticCraft:slimePlant,slime_block
chisel:chisel.marble,chiseled_sandstone
PneumaticCraft:propulsionPlant,piston
IC2:blockRubLeaves,oxidized_cut_copper
Thaumcraft:blockCustomOre,note_block
Natura:Bluebells,blue_orchid
BiomesOPlenty:flowers,chorus_flower
props:blockprops,note_block
cfm:bin,dispenser
props:blockfake,oxidized_cut_copper
techguns:stairs_concrete,resin_brick_stairs
chisel:factory1,furnace
botania:quartzstairsdark,quartz_block
warpdrive:mining_laser,light
thermalexpansion:cache,chest
bibliocraft:seat,glass_pane
botania:flower,chorus_flower
atum:ceramic_stairs_gray,resin_brick_stairs
atum:linen_carpet_black,black_carpet
atum:ceramic_stairs_black,polished_blackstone_brick_stairs
pixelmon:window1,glass_pane
pixelmon:red_rug,red_carpet
biomesoplenty:white_sandstone_stairs,sandstone_stairs
biomesoplenty:white_sandstone,sandstone
biomesoplenty:cherry_door_block,cherry_door
cfm:ceiling_light_on,light
cfm:chopping_board,bamboo_planks
cfm:bar_stool,iron_bars
cfm:couch,bookshelf
cfm:freezer,frosted_ice
cfm:range_hood,jungle_fence
cfm:counter_sink,water_cauldron
blockcraftery:editable_stairs,spruce_stairs
actuallyadditions:block_colored_lamp_on,redstone_lamp
lotr:tile.lotr:gobletCopper,deepslate_tiles
lotr:tile.lotr:gobletWood,stone
lotr:tile.lotr:ceramicMug,deepslate_tiles
lotr:tile.lotr:mug,stone_brick_slab
lotr:tile.lotr:gobletSilver,deepslate_tiles
lotr:tile.lotr:gobletGold,stone
cfm:cabinet_oak,oak_wood
cfm:tv_stand,brewing_stand
cfm:modern_light_off,light
cfm:lamp_on,light
cfm:desk_cabinet_oak,oak_wood
cdm:printer,dispenser
cdm:router,repeater
joshxmas:christmas_lights_rainbow,light
cdm:laptop,water_cauldron
cfm:modern_tv,daylight_detector
cdm:office_chair,dispenser
cfm:desk_oak,oak_wood
cfm:crate_spruce,spruce_wood
cfm:modern_coffee_table,crafting_table
cfm:modern_couch,bookshelf
botania:pavement5stairs,cobbled_deepslate
warpdrive:lift,lever
atum:ceramic_stairs_green,green_carpet
warpdrive:hull.superior.tiled,crimson_planks
atum:linen_carpet_green,green_carpet
elevatorid:elevator_green,green_carpet
nuclearcraft:tritium_lamp,redstone_lamp
ProjRed|Illumination:projectred.illumination.lamp,light
thedalekmod:redstoneLampOn,redstone_lamp
botania:dreamwood1stairs,cherry_wood
warpdrive:force_field_relay.superior,powered_rail
warpdrive:hull.superior.stairs_green,jungle_stairs
pixelmon:yellow_cushion_chair,yellow_carpet
biomesoplenty:plant_0,pitcher_plant
chisel:woolen_clay,clay
props:blockProps,note_block
CarpentersBlocks:blockCarpentersStairs,oxidized_cut_copper
flansmod:german,water_cauldron
flansmod:mpack.germanbox,shulker_box
flansmod:japanese,bamboo
flansmod:flansworkbench,fletching_table
flansmod:british,bricks
flansmod:mpack.belgianbox,magenta_shulker_box
flansmod:ww2armour,warped_wart_block
flansmod:mpack.austrianbox,cyan_shulker_box
flansmod:mpack.polishbox,lime_shulker_box
flansmod:mpack.britishbox,black_shulker_box
flansmod:mpack.usbox,pearlescent_froglight
flansmod:mpack.chinabox,magenta_shulker_box
flansmod:mpack.advammobox,chiseled_polished_blackstone
Railcraft:cube,diamond_block
Railcraft:brick.quarried,brick_slab
Railcraft:stair,spruce_stairs
chisel:cobblestone,cobblestone
ExtrabiomesXL:woodslab,jungle_wood
CarpentersBlocks:blockCarpentersGarageDoor,oxidized_cut_copper
ExtrabiomesXL:log1,jungle_log
ExtrabiomesXL:stairs.fir,spruce_stairs
ExtrabiomesXL:planks,spruce_planks
MineZSurvival:tile.GuardWall,deepslate_tile_wall
MineZSurvival:tile.BlockWire,brick_slab
MineZSurvival:tile.SandBags,sand
MineZSurvival:tile.CustomFlowerpot,decorated_pot
MineZSurvival:tile.ArmatureEnd,deepslate_tile_slab
MineZSurvival:tile.graffitiArt_frozor,deepslate_tiles
MineZSurvival:tile.graffitiArt_blood1,deepslate_tile_wall
MineZSurvival:tile.TrailerGeneratorLight,light
MineZSurvival:tile.graffitiArt_cracks,cracked_deepslate_tiles
MineZSurvival:tile.deadGuyTalik,deepslate_tile_slab
MineZSurvival:tile.TrailerGenerator,deepslate_tile_wall
MineZSurvival:tile.TV,deepslate_tile_wall
MineZSurvival:tile.graffitiBigArt_art1,deepslate_tile_wall
MineZSurvival:tile.Armature,deepslate_tile_slab
MineZSurvival:BlockFilling,oxidized_cut_copper
MineZSurvival:tile.graffitiArt_eye,deepslate_tile_wall
MineZSurvival:tile.Campfire,campfire
MineZSurvival:kOther,nether_wart
MineZSurvival:tile.Fridge,deepslate_tile_wall
MineZSurvival:tile.Box,deepslate_tiles
cfm:shower_bottom,wet_sponge
cfm:wall_cabinet,brick_wall
cfmce:aquarium,water
cfmce:green_wheelie_bin,green_shulker_box
cfm:cup,glass
cfmce:coffee_table,crafting_table
cfm:fire_alarm_off,fire
cfm:table_outdoor,crafting_table
cfm:microwave,furnace
cfm:shower_head_off,water_cauldron
cfm:shower_top,wet_sponge
cfm:mirror,glass_pane
croparia:fruit_grass,short_grass
croparia:block_crop_coal,coal_block
pixelmon:dawn_dusk_ore,emerald_ore
thedalekmod:transparentblklight,light
primal:slat_ironwood,iron_bars
primal:logs_stripped,stripped_spruce_log
horsepower:press_filler,piston
ferdinandsflowers:block_cff_flowersc,moss_block
ferdinandsflowers:block_cff_flowersb,moss_block
ferdinandsflowers:block_cff_flowersd,moss_block
natura:overworld_leaves2,jungle_leaves
ferdinandsflowers:block_cff_doublesc,oxidized_cut_copper
immcraft:in_world_placer,bedrock
horsepower:press,light_weighted_pressure_plate
primal:corn_stalk,cornflower
totemic:totem_base,spruce_slab
horsepower:chopping_block,jigsaw
actuallyadditions:block_black_lotus,black_concrete
primal:logs_stacked,spruce_log
horsepower:grindstone,grindstone
primal_tech:stick_bundle,carrots
totemic:drum,chorus_flower
natura:overworld_logs2,jungle_log
primal:barrel,barrel
totemic:wooden_pillar_base,quartz_pillar
primal_tech:work_stump,hanging_roots
totemic:tipi,potted_bamboo
ferdinandsflowers:block_cff_fungus,crimson_fungus
totemic:dummy_tipi,bamboo
betterwithaddons:leaves_sakura,cherry_leaves
ferdinandsflowers:block_cff_dark,dark_prismarine
totemic:wooden_pillar,quartz_pillar
immcraft:bookshelf,bookshelf
horsepower:chopper,hopper
totemic:totem_torch,wall_torch
primal_tech:fibre_torch_lit,wall_torch
betterwithaddons:leafpile_sakura,cherry_leaves
horsepower:hand_grindstone,grindstone
rustic:wildberry_bush,sweet_berry_bush
ferdinandsflowers:block_cff_desert,sand
actuallyadditions:block_flax,dried_kelp_block
immcraft:in_world_vertical_placer,white_concrete
immcraft:shelf,bookshelf
primal_tech:work_stump_upgraded,stripped_warped_stem
ferdinandsflowers:block_cff_flowers,chorus_flower
totemic:totem_pole,stone_slab
primal:slat_spruce,spruce_wood
natura:cotton_crop,wheat
progressiontweaks:fire_pit_unlit,fire
ferdinandsflowers:block_cff_doubles,slime_block
rustic:log,jungle_log
primal_tech:stone_grill,stone
rustic:leaves,jungle_leaves
natura:overworld_slab2,jungle_slab
natura:overworld_planks,jungle_planks
actuallyadditions:block_rice,bamboo_block
lotr:tile.lotr:chestStone,chest
immersiveengineering:storage_slab,stone_slab
immersiveengineering:steel_scaffolding_stairs2,scaffolding
chisel:glowstone1,glowstone
wildnature:small_grass,short_grass
rustic:candle_gold,candle
chisel:carpet_red,red_carpet
chisel:planks-oak,oak_planks
futuremc:stone_brick_wall,stone_brick_wall
randomthings:onlineDetector,daylight_detector
extrautils2:spike_wood,spruce_wood
enderio:blockFusedQuartz_darkFusedGlass,glass
enderio:blockConduitBundle,chiseled_polished_blackstone
enderio:blockPoweredSpawner,jigsaw
darkutils:trap_move_fast,jungle_trapdoor
darkutils:trap_move,jungle_trapdoor
chisel:stonebrick2,stone_bricks
quark:polished_stone,polished_granite
quark:spruce_button,spruce_button
quark:stone_wall,stone_brick_wall
chisel:cobblestone1,cobblestone
chisel:glowstone,glowstone
cfm:coffee_table_acacia,acacia_wood
cfm:cookie_jar,cocoa
joshxmas:dark_oak_door_wreath,dark_oak_door
joshxmas:present_green,green_concrete
cfm:modern_bed_top,light_blue_bed
cfm:modern_bed_bottom,light_blue_bed
cfm:door_bell_spruce,spruce_door
joshxmas:mistletoe_decorative,pumpkin_stem
cfm:digital_clock,daylight_detector
cfm:table_jungle,jungle_log
immersiveengineering:metal_multiblock,oxidized_cut_copper
immersiveengineering:stone_device,stone
immersiveengineering:stone_decoration_stairs_concrete,stone_stairs
immersiveengineering:metal_decoration1_slab,stone_slab
immersiveengineering:conveyor,dispenser
immersiveengineering:stone_decoration_slab,stone_slab
immersiveengineering:steel_scaffolding_stairs1,scaffolding
immersiveengineering:stone_decoration_stairs_concrete_tile,stone_stairs
immersivepetroleum:metal_device,copper_block
immersiveengineering:cloth_device,loom
immersiveengineering:stone_decoration,stone
ImmersiveEngineering:woodenDecoration,oak_wood
malisisdoors:trapdoor_dark_oak,dark_oak_trapdoor
GardenContainers:large_pot_colored,decorated_pot
malisisdoors:door_dark_oak,dark_oak_door
cfm:computer,water_cauldron
cfm:modern_stair,stone_stairs
cfm:table_granite,granite
malisisdoors:trapdoor_birch,birch_trapdoor
immersiveengineering:treated_wood_stairs0,spruce_stairs
immersiveengineering:treated_wood_slab,oak_slab
thaumcraft:effect_glimmer,soul_fire_lantern
thaumcraft:lamp_arcane,redstone_lamp
spookybiomes:seeping_stairs,dark_prismarine_stairs
AgriCraft:seedAnalyzer,nether_sprouts
AgriCraft:crops,wheat
quantumflux:imaginaryTime,brain_coral
chisel:brickCustom,brick_wall
atum:radiant_beacon,beacon
pixelmon:ruins_wall,brick_wall
pixelmon:hidden_iron_door,iron_door
pixelmon:dusty_ruins_wall,stone_brick_wall
pixelmon:ultra,red_carpet
chisel:marble2,prismarine_brick_slab
chisel:basalt2,basalt
chisel:antiBlock,note_block
chisel:stonebricksmooth,stone_bricks
jurassicraft:tile.fossil_clay_ore,clay
immersiveengineering:treated_wood,spruce_wood
ThermalExpansion:Tesseract,magenta_terracotta
BigReactors:YelloriumFuelRod,furnace
ThermalFoundation:FluidCryotheum,crimson_hyphae
